product_id,title,price_usd,category,brand,rating,stock,discount_pct,availability
1,Essence Mascara Lash Princess,9.99,beauty,Essence,2.56,99,10.48,In Stock
2,Eyeshadow Palette with Mirror,19.99,beauty,Glamour Beauty,2.86,34,18.19,In Stock
3,Powder Canister,14.99,beauty,Velvet Touch,4.64,89,9.84,In Stock
4,Red Lipstick,12.99,beauty,Chic Cosmetics,4.36,91,12.16,In Stock
5,Red Nail Polish,8.99,beauty,Nail Couture,4.32,79,11.44,In Stock
6,Calvin Klein CK One,49.99,fragrances,Calvin Klein,4.37,29,1.89,In Stock
7,Chanel Coco Noir Eau De,129.99,fragrances,Chanel,4.26,58,16.51,In Stock
8,Dior J'adore,89.99,fragrances,Dior,3.8,98,14.72,In Stock
9,Dolce Shine Eau de,69.99,fragrances,Dolce & Gabbana,3.96,4,0.62,Low Stock
10,Gucci Bloom Eau de,79.99,fragrances,Gucci,2.74,91,14.39,In Stock
11,Annibale Colombo Bed,1899.99,furniture,Annibale Colombo,4.77,88,8.57,In Stock
12,Annibale Colombo Sofa,2499.99,furniture,Annibale Colombo,3.92,60,14.4,In Stock
13,Bedside Table African Cherry,299.99,furniture,Furniture Co.,2.87,64,19.09,In Stock
14,Knoll Saarinen Executive Conference Chair,499.99,furniture,Knoll,4.88,26,2.01,In Stock
15,Wooden Bathroom Sink With Mirror,799.99,furniture,Bath Trends,3.59,7,8.8,Low Stock
16,Apple,1.99,groceries,Unknown,4.19,8,12.62,In Stock
17,Beef Steak,12.99,groceries,Unknown,4.47,86,9.61,In Stock
18,Cat Food,8.99,groceries,Unknown,3.13,46,9.58,In Stock
19,Chicken Meat,9.99,groceries,Unknown,3.19,97,13.7,In Stock
20,Cooking Oil,4.99,groceries,Unknown,4.8,10,9.33,In Stock
21,Cucumber,1.49,groceries,Unknown,4.07,84,0.16,In Stock
22,Dog Food,10.99,groceries,Unknown,4.55,71,10.27,In Stock
23,Eggs,2.99,groceries,Unknown,2.53,9,11.05,In Stock
24,Fish Steak,14.99,groceries,Unknown,3.78,74,4.23,In Stock
25,Green Bell Pepper,1.29,groceries,Unknown,3.25,33,0.16,In Stock
26,Green Chili Pepper,0.99,groceries,Unknown,3.66,3,1.0,Low Stock
27,Honey Jar,6.99,groceries,Unknown,3.97,34,14.4,In Stock
28,Ice Cream,5.49,groceries,Unknown,3.39,27,8.69,In Stock
29,Juice,3.99,groceries,Unknown,3.94,50,12.06,In Stock
30,Kiwi,2.49,groceries,Unknown,4.93,99,15.22,In Stock
31,Lemon,0.79,groceries,Unknown,3.53,31,9.7,In Stock
32,Milk,3.49,groceries,Unknown,2.61,27,13.74,In Stock
33,Mulberry,4.99,groceries,Unknown,4.95,99,12.87,In Stock
34,Nescafe Coffee,7.99,groceries,Unknown,4.82,57,1.59,In Stock
